redTime,latitude,longitude,hacc,altitude,Avg_x,Avg_y,Avg_z,vacc,speed,course
0,51.907425479,-1.150283414,65,78.5282,-0.02614746096,-0.98291046144,0.15846160892,10,-1,-1
0,51.907425479,-1.150283414,65,78.5282,-0.02614746096,-0.98291046144,0.15846160892,10,-1,-1
0,51.907425479,-1.150283414,65,78.5282,-0.02614746096,-0.98291046144,0.15846160892,10,-1,-1
0,51.907456348,-1.150262887,65,78.6571,-0.02614746096,-0.98291046144,0.15846160892,10,-1,-1
1,51.907349713,-1.150432639,50,79.3926,-2.72493549411765e-002,-0.984746745980392,0.154965569019608,64,0,204.609375
2,51.907349713,-1.150432639,50,79.3926,-2.36805934803922e-002,-0.987038855421569,0.134919110480392,64,0,204.609375
3,51.907490529,-1.150645372,10,80.0448,-2.35359341666667e-002,-0.994776108705882,8.56740614411765e-002,3,0,204.609375
4,51.907501174,-1.150643947,10,79.9728,-2.43672389215686e-002,-0.991680968068628,0.103416143696078,3,0.189999998,204.609375
5,51.907480848,-1.150613353,5,80.515,-2.80971153235294e-002,-0.981349122303922,0.168878592686274,3,0.479999989,204.609375
6,51.907457714,-1.150612682,5,81.0611,-2.87608726862745e-002,-0.973336911705882,0.222825742235294,3,0.870000005,117.0703125
7,51.9074179,-1.150497263,5,81.7036,-8.55434640196079e-003,-0.979474235960785,0.191412533058824,3,0.899999976,107.9296875
8,51.907409602,-1.150461724,5,82.0426,1.00142535098039e-002,-0.981129365833333,0.179761400431373,3,0.349999994,107.9296875
8,51.907456038,-1.150295092,5,81.9817,1.00142535098039e-002,-0.981129365833333,0.179761400431373,4,0.180000007,-1
9,51.907419325,-1.150304647,5,80.3224,5.68165450980392e-004,-0.984277463392156,0.160205317490196,3,0.189999998,-1
10,51.907419325,-1.150304647,5,79.856,-6.27734617647059e-003,-0.983771230647059,0.15917415245098,3,0,132.1875
11,51.907419325,-1.150304647,5,79.5546,-3.94007365098039e-002,-0.978090323676471,0.201897565039216,3,0,168.3984375
12,51.90741044,-1.15034136,5,79.6075,-0.129505531470588,-0.963898453068627,0.249272065980392,3,0.819999993,348.75
13,51.907432443,-1.150345802,5,79.6334,-9.72187819902913e-002,-0.975440016038835,0.219998405990291,3,2.049999952,15.1171875
14,51.907457588,-1.150337001,5,79.5115,-2.94707054901961e-002,-0.975236630882353,0.219087638117647,3,3.049999952,22.5
15,51.907488769,-1.150319902,5,79.6473,-2.95661476470588e-003,-0.975790435196078,0.210801367676471,3,3.710000038,22.8515625
16,51.907524057,-1.150298947,5,79.7058,-2.49102723627451e-002,-0.987788181686275,0.149989707735294,3,4.119999886,22.8515625
17,51.907558674,-1.150276065,5,79.894,-0.242196625343137,-0.970697290705883,0.191893633715686,3,4.179999828,25.6640625
18,51.907591363,-1.150233904,5,79.883,-0.214162190784314,-0.989276362392157,0.103188309029412,3,4.739999771,41.8359375
19,51.907609259,-1.150172967,5,79.995,-0.104374605068628,-0.987068325882353,8.86103312156862e-002,3,4.590000153,72.421875
20,51.907614749,-1.150111947,5,80.0999,-2.47828165980392e-002,-1.00204318178431,2.8231003745098e-002,3,3.980000019,76.2890625
21,51.907616006,-1.15006635,5,80.2561,1.15410299509804e-002,-0.988585528186274,0.148562562176471,3,2.730000019,76.9921875
22,51.907620532,-1.150021758,5,80.639,7.73634068921569e-002,-0.960642795911764,0.294130512264706,3,3.089999914,67.8515625
23,51.907638931,-1.149973143,5,80.7648,0.148347742401961,-0.970274532558824,0.285201128764706,3,4.190000057,54.4921875
24,51.907686875,-1.149935005,5,81.0657,6.33700501960784e-002,-0.95711188217647,0.309967340186274,3,5.619999886,30.5859375
25,51.907745381,-1.149896113,5,81.1908,-2.24871167843137e-002,-0.957647136598039,0.306818943401961,3,7.010000229,24.2578125
26,51.907813023,-1.149847498,5,81.341,-1.95640115196078e-002,-0.978640537686275,0.185990127901961,3,8.079999924,23.203125
27,51.907886448,-1.14979838,5,81.4058,-2.63190175882353e-002,-0.98005885704902,0.215666228637255,3,8.350000381,21.796875
28,51.907963059,-1.149747167,5,81.7027,-8.02742453235294e-002,-0.965453503215686,0.234763500764706,3,9.06000042,22.1484375
29,51.908044741,-1.149691762,5,81.8753,-7.24882237745098e-002,-0.961763568960785,0.226936489892157,3,9.899999619,22.8515625
30,51.908130823,-1.149627808,5,82.0192,-7.22530589607843e-002,-0.97827058677451,0.227861142627451,3,10.550000191,23.5546875
31,51.908225413,-1.149563603,5,82.0849,-0.105817009401961,-0.965237785794117,0.224524105303922,3,11.210000038,25.3125
32,51.908319793,-1.149488669,5,82.3434,-8.08561736372549e-002,-0.98092112822549,0.176022847490196,3,11.770000458,26.3671875
33,51.908412119,-1.149412561,5,82.2717,-6.07045490882353e-002,-0.987516664960785,0.129396176813726,3,11.850000381,27.0703125
34,51.908503817,-1.149334777,5,82.3959,-4.59116019509804e-002,-0.984033621990196,0.139242134852941,3,11.659999847,27.0703125
35,51.908593378,-1.149263028,5,82.6379,-9.24758170776699e-002,-0.978013121990292,0.168077339271845,3,11.479999542,26.3671875
36,51.908684657,-1.149187759,5,82.7458,-6.11623128235294e-002,-0.982824886509804,0.16979486804902,3,11.699999809,26.3671875
37,51.908776397,-1.149112405,5,82.9226,-5.22933660882353e-002,-0.976882784970588,0.172489689911765,3,11.869999886,26.3671875
38,51.908873501,-1.149035292,5,83.0372,-7.91328280882353e-002,-0.984538209235295,0.140138962637255,3,12.079999924,25.6640625
39,51.908969432,-1.148962621,5,83.0372,-7.20925424117647e-002,-0.985481262196078,0.11487235277451,3,11.789999962,24.9609375
40,51.909062052,-1.148890201,5,83.0045,-6.21560788529412e-002,-0.987590116598039,0.118201461519608,3,11.300000191,27.421875
41,51.909149936,-1.148812752,5,83.2597,-6.42124250588235e-002,-0.986410552431372,0.125016904352941,3,11,26.71875
42,51.909239749,-1.148739327,5,83.3793,-7.61747173137255e-002,-0.978027493382353,0.155293483352941,3,10.93999958,26.71875
43,51.909330692,-1.148663471,5,83.3793,-7.94143676764706e-002,-0.983335906372549,0.156250598392157,3,10.859999657,26.71875
44,51.909412332,-1.148587363,5,83.6422,-5.48209396372549e-002,-0.981274174715686,0.148925482019608,3,11.029999733,28.4765625
45,51.909502102,-1.148516703,5,83.6183,-5.22646436372549e-002,-0.982404821098039,0.171728096715686,3,11.340000153,25.3125
46,51.909587765,-1.148439758,5,83.7417,-6.73660577745098e-002,-0.974395901588236,0.189004486666667,3,11.319999695,27.0703125
47,51.909674434,-1.148355519,5,84.0047,-6.67841294705883e-002,-0.974788890156863,0.176624223343137,3,11.649999619,28.125
48,51.909674434,-1.148355519,5,84.0047,-4.94701908431373e-002,-0.978961720215686,0.164995978882353,3,11.649999619,28.125
48,51.909765336,-1.148274047,5,84.0438,-4.94701908431373e-002,-0.978961720215686,0.164995978882353,3,11.680000305,27.0703125
49,51.909865332,-1.148202801,5,84.2135,-6.4425300127451e-002,-0.980002758568627,0.159330929009804,3,11.909999847,26.71875
50,51.909965328,-1.148138512,5,84.2133,-0.0826827405,-0.990404465627451,0.10270197254902,3,11.430000305,26.3671875
51,51.9100525,-1.148062069,5,84.1675,-6.94970524117647e-002,-0.981677485431372,9.27026786176471e-002,3,11.170000076,26.71875
52,51.910133637,-1.147986213,5,84.3399,-7.78881895588236e-002,-0.983698227852941,0.112919078078431,3,10.630000114,29.1796875
53,51.910216115,-1.147918571,5,84.167,-9.40307321067961e-002,-0.980202832242718,0.160857561718447,3,11.06000042,25.6640625
54,51.910306304,-1.147851348,5,84.2934,-6.54940138039216e-002,-0.984417934058824,0.195611542372549,3,11.470000267,25.6640625
55,51.910395906,-1.147768199,5,84.3285,-6.03393854117647e-002,-0.971122741705882,0.181492674568628,3,11.470000267,30.5859375
56,51.910494771,-1.147699803,5,84.4205,-8.02022896568627e-002,-0.983877892549019,0.154932957058824,3,12.069999695,27.0703125
57,51.910590241,-1.147616319,5,84.3894,-8.43429564901961e-002,-0.976872014078431,0.131513109401961,3,11.68999958,30.5859375
58,51.910687806,-1.147533758,5,84.4243,-9.31553560294118e-002,-0.992804732970588,0.135042227960784,3,11.890000343,28.4765625
59,51.910781558,-1.147445831,5,84.3633,-7.76219087254902e-002,-0.983660230470588,0.147326899539216,3,11.989999771,28.4765625
